Age,Gender,Job,Relationship Status,Triggering_Event,Emotional_Response,Subjective_Assesment
25,Male,Software Engineer,Single,"I got passed up for a promotion at work, even though I have been working hard and putting in extra hours.","Despair, frustration, disappointment, hopelessness",I feel like my hard work doesn't matter and I'll never be successful in my career.
25,Male,Software Engineer,Single,"My girlfriend of 3 years broke up with me out of the blue, saying she doesn't see a future with me.","Despair, heartbreak, rejection, loneliness",I feel like I'll never find love again and that I'm unlovable.
25,Male,Software Engineer,Single,I found out that several of my close friends went on a trip together and didn't invite me.,"Despair, betrayal, exclusion, inadequacy",I feel like my friends don't actually care about me and that I'm not important to anyone.
25,Male,Software Engineer,Single,"I received a poor performance review at work, despite feeling like I've been doing a good job.","Despair, failure, shame, self-doubt",I feel like I'm a failure at my job and that I'll never be good enough.
25,Male,Software Engineer,Single,I applied to my dream graduate school program and got rejected.,"Despair, disappointment, failure, hopelessness",I feel like my dreams are crushed and that I'll never be able to achieve my goals.
25,Male,Software Engineer,Single,"I worked hard on a project for weeks, but my manager criticized it harshly in front of the entire team during the presentation.","Disappointed, embarrassed, undervalued",I felt really let down and embarrassed. It was like all my effort was for nothing.
25,Male,Software Engineer,Single,"I was really excited about a first date with someone I met online, but they cancelled on me at the last minute without a good reason.","Disappointed, rejected, foolish",I was so disappointed and felt kind of stupid for getting my hopes up.
25,Male,Software Engineer,Single,"I applied for my dream job and made it to the final round of interviews, but didn't get the position.","Disappointed, discouraged, inadequate",I was crushed. I really thought I had a good chance and not getting it was a huge disappointment.
25,Male,Software Engineer,Single,"My best friend and I made plans for a weekend trip, but they cancelled at the last minute to hang out with their new partner instead.","Disappointed, hurt, betrayed",I felt so disappointed and kind of betrayed. I was really looking forward to our trip.
25,Male,Software Engineer,Single,"I worked really hard to get in shape for a marathon, but on race day I performed much worse than I had hoped and didn't meet my goal time.","Disappointed, frustrated, ashamed",I was really disappointed in myself. All that training and I still couldn't reach my goal.
25,Male,Software Engineer,Single,I found out my roommate has been using my toothbrush without telling me.,Disgust,I feel so grossed out and violated.
25,Male,Software Engineer,Single,"I accidentally took a sip from a coworker's water bottle thinking it was mine, only to realize they had backwash in it.",Disgust,I feel so disgusted and nauseous.
25,Male,Software Engineer,Single,I was eating at a restaurant and found a hair in my food.,Disgust,I feel so grossed out and angry.
25,Male,Software Engineer,Single,I saw a video online of someone eating live insects.,Disgust,I feel so revolted and queasy.
25,Male,Software Engineer,Single,I was walking down the street and stepped in dog poop.,Disgust,I feel so disgusted and annoyed.
25,Male,Software Engineer,Single,I was presenting my project idea in a team meeting and my mind suddenly went blank. I couldn't remember what I wanted to say next and there was an awkward silence.,"Embarrassment, anxiety, self-doubt",I felt really embarrassed and anxious. It was like everyone was staring at me and judging me for not being prepared.
25,Male,Software Engineer,Single,I was out on a date with someone I really liked and I accidentally spilled my drink all over the table and myself.,"Embarrassment, clumsiness, self-consciousness",I was so embarrassed and felt like such a klutz. I could feel my face turning red and I just wanted to hide under the table.
25,Male,Software Engineer,Single,I was at the gym and my shorts ripped right down the back while I was doing squats. Everyone could see my underwear.,"Embarrassment, exposure, vulnerability",I was mortified. I could feel everyone's eyes on me and I just wanted to run out of the gym and never come back.
25,Male,Software Engineer,Single,I was in a meeting with my boss and some senior managers and I accidentally let out a loud burp. Everyone turned to look at me.,"Embarrassment, shame, unprofessionalism",I was so embarrassed and ashamed. I couldn't believe I had done something so unprofessional in front of my bosses.
25,Male,Software Engineer,Single,I was out with some friends at a bar and I had a few too many drinks. I ended up throwing up in the bathroom and my friends had to take me home.,"Embarrassment, shame, regret",I was so embarrassed and ashamed of myself. I couldn't believe I had let myself get so drunk and sick in public.
25,Male,Software Engineer,Single,"My coworker got promoted to a senior role after working here for only a year, while I've been here for three years without any advancement.","Envy, frustration, self-doubt",I feel envious and frustrated that my coworker got promoted so quickly while I'm still in the same position. It makes me doubt my own abilities and worth.
25,Male,Software Engineer,Single,"My best friend just got engaged and is planning a dream wedding, while I'm still single with no prospects.","Envy, loneliness, self-pity",I feel so envious of my friend's happiness and success in love. It makes me feel even more alone and like I'll never find someone.
25,Male,Software Engineer,Single,"A younger coworker just bought a brand new luxury car, while I'm still driving my old beat-up sedan.","Envy, inadequacy, resentment",I feel so envious and inadequate seeing my coworker's fancy new car. It makes me resent my own financial situation and feel like I'm not successful enough.
25,Male,Software Engineer,Single,"My college roommate just sold his startup for millions, while I'm still working a regular 9-5 job.","Envy, regret, bitterness",I feel so envious and bitter hearing about my old roommate's success. It makes me regret not taking more risks in my own career.
25,Male,Software Engineer,Single,"My sister just announced that she's pregnant with her second child, while I'm still single and childless.","Envy, sadness, fear of missing out",I feel so envious and sad hearing my sister's news. It makes me fear that I'm missing out on the joys of family life and will end up alone.
25,Male,Software Engineer,Single,I was working late at night on a critical project when my computer suddenly crashed and I lost all my unsaved work.,"Fear, panic, anxiety",I felt a surge of fear and panic as I realized I might miss the deadline and disappoint my team and clients.
25,Male,Software Engineer,Single,I received an email from my boss requesting an urgent meeting to discuss my performance.,"Fear, anxiety, self-doubt","I was gripped by fear and anxiety, wondering if I had done something wrong or if my job was in jeopardy."
25,Male,Software Engineer,Single,"I was on a first date with someone I met online, and they started asking very personal questions that made me uncomfortable.","Fear, unease, vulnerability","I felt a growing sense of fear and unease as the conversation took an uncomfortable turn, and I worried about my safety and well-being."
25,Male,Software Engineer,Single,I was alone in my apartment late at night when I heard strange noises coming from outside my door.,"Fear, anxiety, helplessness","I was suddenly gripped by fear and anxiety, my heart pounding as I imagined an intruder trying to break in."
25,Male,Software Engineer,Single,I was in a crowded elevator when it suddenly jerked and came to a halt between floors.,"Fear, panic, claustrophobia",I felt a wave of fear and panic wash over me as I realized I was trapped in the confined space with no way out.
25,Male,Software Engineer,Single,"I spent hours debugging my code, only to find out it was a simple syntax error.","Frustration, anger, self-doubt",I feel so frustrated and stupid for wasting so much time on such a small mistake.
25,Male,Software Engineer,Single,"My manager keeps setting unrealistic deadlines for our projects, causing me to work overtime frequently.","Frustration, stress, resentment",I'm so frustrated with my manager's lack of understanding and unreasonable expectations. It's stressing me out.
25,Male,Software Engineer,Single,I got rejected by a company I really wanted to work for after going through multiple interview rounds.,"Frustration, disappointment, self-doubt",I'm frustrated and disappointed that I didn't get the job. It makes me question my skills and abilities.
25,Male,Software Engineer,Single,I can't seem to find a date despite putting myself out there on multiple dating apps and attending social events.,"Frustration, loneliness, self-doubt",I'm frustrated with my lack of success in dating. It makes me feel lonely and wonder if there's something wrong with me.
25,Male,Software Engineer,Single,"My computer crashed in the middle of an important project, causing me to lose hours of unsaved work.","Frustration, anger, stress","I'm so frustrated and angry with myself for not saving my work more frequently. Now I have to redo everything, and I'm stressed about meeting the deadline."
25,Male,Software Engineer,Single,"My grandmother, who raised me, passed away unexpectedly.","Sadness, loss, emptiness, shock, disbelief",I feel devastated and lost without my grandmother. It's like a part of me is gone forever.
25,Male,Software Engineer,Single,"My childhood dog, who was my best friend growing up, had to be put down due to age-related health issues.","Grief, heartbreak, nostalgia, guilt",Losing my dog feels like losing a part of my childhood. I feel guilty for not spending more time with him in his final years.
25,Male,Software Engineer,Single,"I found out that my ex-girlfriend, who I still had feelings for, got engaged to someone else.","Jealousy, regret, loneliness, heartbreak",I feel like I missed my chance at happiness with her. Seeing her engage to someone else is a painful reminder of what could have been.
25,Male,Software Engineer,Single,"My best friend, who I've known since childhood, moved to another country for work.","Loneliness, abandonment, sadness, fear",I feel like I'm losing my support system and I'm scared of facing life's challenges without my best friend by my side.
25,Male,Software Engineer,Single,I didn't get the promotion at work that I had been working towards for months.,"Disappointment, frustration, self-doubt, hopelessness",I feel like all my hard work was for nothing. I'm starting to doubt my abilities and wonder if I'll ever advance in my career.
25,Male,Software Engineer,Single,I forgot my best friend's birthday and didn't even call him.,"Guilt, Shame, Regret",I feel terrible for forgetting such an important day. I'm a horrible friend.
25,Male,Software Engineer,Single,I promised to help my colleague with a project but got caught up in my own work and didn't deliver my part on time.,"Guilt, Disappointment, Embarrassment",I feel guilty for letting my colleague down and not keeping my word. I should have managed my time better.
25,Male,Software Engineer,Single,I accidentally deleted an important file at work and caused a delay in the project.,"Guilt, Panic, Self-blame",I feel incredibly guilty for causing this problem. I should have been more careful.
25,Male,Software Engineer,Single,"I haven't called my parents in weeks, and now I found out my dad was in the hospital.","Guilt, Worry, Regret",I feel so guilty for not staying in touch. I should have been there for them.
25,Male,Software Engineer,Single,I got drunk at a party and said some hurtful things to a close friend.,"Guilt, Shame, Remorse",I feel awful for hurting my friend's feelings. I shouldn't have let myself get so drunk and out of control.
25,Male,Software Engineer,Single,"I found out that my coworker, who I considered a friend, has been spreading rumors about me and sabotaging my work behind my back.","Betrayal, anger, frustration",I feel so much hatred towards him right now. I trusted him and he stabbed me in the back.
25,Male,Software Engineer,Single,"I was passed over for a promotion that I deserved, and it was given to someone who is less qualified but is better at office politics.","Resentment, bitterness, anger",I hate the fact that hard work and talent don't seem to matter in this company. It's all about who you know and how well you can play the game.
25,Male,Software Engineer,Single,"I found out that my ex-girlfriend, who broke up with me a few months ago, is now dating my best friend.","Betrayal, anger, jealousy",I hate both of them so much right now. How could they do this to me? I thought they cared about me.
25,Male,Software Engineer,Single,I was walking down the street when a group of people started yelling racial slurs at me and telling me to go back to where I came from.,"Fear, anger, humiliation","I hate that people can be so ignorant and hateful. I didn't do anything to them, but they still felt the need to attack me because of my race."
25,Male,Software Engineer,Single,I found out that my parents have been lying to me my entire life about my adoption and my biological family.,"Betrayal, anger, confusion",I hate that they kept this from me for so long. I feel like my entire life has been a lie and I don't know who I am anymore.
25,Male,Software Engineer,Single,I've been working on this project for weeks and my manager just told me that the requirements have changed and I need to start over from scratch.,"Helplessness, frustration, despair",I feel so helpless and frustrated. All my hard work has been for nothing and I don't know if I can handle starting over.
25,Male,Software Engineer,Single,I've been applying for jobs for months and haven't even gotten an interview. I feel like I'm never going to find a better job.,"Helplessness, hopelessness, inadequacy","I feel so helpless and hopeless. No matter how hard I try, I can't seem to get anywhere in my career."
25,Male,Software Engineer,Single,I've been trying to learn a new programming language but I just can't seem to grasp the concepts. I feel like I'm falling behind my colleagues.,"Helplessness, inadequacy, self-doubt",I feel so helpless and inadequate. Everyone else seems to be picking up this language so easily and I'm struggling to keep up.
25,Male,Software Engineer,Single,I've been single for so long and I just can't seem to meet anyone. I feel like I'm going to be alone forever.,"Helplessness, loneliness, hopelessness","I feel so helpless and lonely. No matter how hard I try, I can't seem to connect with anyone."
25,Male,Software Engineer,Single,I've been dealing with a bug in my code for hours and I just can't seem to figure out what's wrong. I feel like I'm not cut out for this job.,"Helplessness, frustration, self-doubt",I feel so helpless and frustrated. I've been staring at this code for hours and I'm no closer to a solution.
25,Male,Software Engineer,Single,"I applied for my dream job at a top tech company, but I got rejected after the final interview round.","Hopelessness, disappointment, self-doubt",I feel like a failure and that I'll never be able to achieve my career goals.
25,Male,Software Engineer,Single,"I've been single for years now, and I just got rejected by someone I really liked after our third date.","Loneliness, hopelessness, inadequacy",I'm starting to think that I'll never find someone who wants to be with me long-term.
25,Male,Software Engineer,Single,"I've been working on a personal coding project for months, but I can't seem to get it to work properly no matter how much time and effort I put in.","Frustration, hopelessness, self-doubt",I feel like I'm not good enough to be a software engineer if I can't even get this project to work.
25,Male,Software Engineer,Single,"I just found out that my best friend is moving to another country for a job opportunity, and I don't know when I'll see them again.","Sadness, hopelessness, abandonment","I feel like I'm losing one of the most important people in my life, and I don't know how I'll cope without them."
25,Male,Software Engineer,Single,"I've been trying to save money for years, but I just can't seem to make any progress no matter how much I cut back on expenses.","Hopelessness, frustration, anxiety",I feel like I'll never be able to afford my own place or have any financial stability in my life.
25,Male,Software Engineer,Single,"I was presenting my project during a team meeting, and I couldn't answer a simple question asked by my manager. Everyone was looking at me, and I felt like I made a fool of myself.","Humiliation, Embarrassment, Shame",I felt humiliated and embarrassed. It was like I let myself and my team down by not being able to answer a simple question.
25,Male,Software Engineer,Single,"I was out on a date with someone I really liked, and I accidentally spilled my drink all over myself. My date looked at me with a shocked expression, and I felt like I ruined the entire evening.","Humiliation, Embarrassment, Self-consciousness",I was so embarrassed and felt humiliated. I couldn't believe I made such a clumsy mistake in front of my date.
25,Male,Software Engineer,Single,"I was at a family gathering, and my aunt started asking me personal questions about my love life in front of everyone. I didn't know how to respond and felt like everyone was judging me.","Humiliation, Embarrassment, Discomfort","I felt so humiliated and embarrassed. I didn't want to discuss my personal life in front of my entire family, but I didn't know how to change the subject."
25,Male,Software Engineer,Single,"I was at the gym, and I accidentally walked into the wrong locker room. I quickly realized my mistake, but not before a group of people saw me and started laughing.","Humiliation, Embarrassment, Mortification","I was mortified and felt so humiliated. I couldn't believe I made such a stupid mistake, and I felt like everyone in the gym was laughing at me."
25,Male,Software Engineer,Single,"I was in a meeting with my colleagues, and I made a joke that no one laughed at. The room went silent, and I felt like I made a complete fool of myself.","Humiliation, Embarrassment, Shame","I felt so humiliated and ashamed. I thought my joke was funny, but clearly, no one else did. I felt like I made a complete idiot of myself in front of my colleagues."
25,Male,Software Engineer,Single,"I applied for a promotion at work, but my colleague got it instead of me.","Insecurity, inadequacy, self-doubt",I feel like I'm not good enough and that my skills are lacking compared to my colleagues.
25,Male,Software Engineer,Single,"I went on a date with someone I really liked, but they didn't seem interested in me.","Insecurity, rejection, low self-esteem","I feel unattractive and undesirable, like there must be something wrong with me."
25,Male,Software Engineer,Single,"I posted a photo on social media, but it didn't get many likes or comments compared to my friends' posts.","Insecurity, inadequacy, feeling left out","I feel like I'm not as popular or interesting as my friends, and that people don't care about me."
25,Male,Software Engineer,Single,"I was talking to some colleagues at a work event, but I felt like I wasn't contributing much to the conversation.","Insecurity, self-consciousness, feeling awkward","I feel like I'm not as smart or articulate as my colleagues, and that they must think I'm boring or unintelligent."
25,Male,Software Engineer,Single,I went to the gym and saw people who were in much better shape than me.,"Insecurity, self-consciousness, feeling out of place","I feel like I'm not as fit or attractive as other people, and that everyone must be judging me."
25,Male,Software Engineer,Single,My coworker took credit for my work during a team meeting.,"irritation, frustration, anger",I felt irritated and frustrated that my coworker took credit for my hard work. It made me angry that they didn't acknowledge my contributions.
25,Male,Software Engineer,Single,I got stuck in traffic and was late for an important meeting with a client.,"irritation, anxiety, stress",I was so irritated by the traffic. It made me anxious and stressed about being late for the meeting and potentially losing the client.
25,Male,Software Engineer,Single,"My neighbor's dog keeps barking loudly at night, disturbing my sleep.","irritation, frustration, exhaustion",The constant barking is so irritating. It's frustrating that my neighbor isn't doing anything about it. I'm exhausted from lack of sleep.
25,Male,Software Engineer,Single,My internet connection keeps dropping while I'm trying to work from home.,"irritation, frustration, stress",It's so irritating when the internet drops in the middle of an important task. It's frustrating and stressful to deal with technical issues while trying to meet deadlines.
25,Male,Software Engineer,Single,A bug in my code caused the application to crash during a demo for my manager.,"irritation, embarrassment, anxiety",I was irritated with myself for not catching the bug before the demo. It was embarrassing and made me anxious about how it would reflect on my performance.
25,Male,Software Engineer,Single,"My best friend, who I've been friends with since childhood, got engaged to his girlfriend of 2 years. I feel like I'm being left behind.","Jealousy, Loneliness, Inadequacy","Jealous, Lonely, Inadequate"
25,Male,Software Engineer,Single,A coworker who started at the company after me just got promoted to a senior position. I feel like I deserved that promotion more than him.,"Jealousy, Anger, Resentment","Jealous, Angry, Resentful"
25,Male,Software Engineer,Single,"I saw on social media that an old college classmate just bought a house with his fiance. Meanwhile, I'm still renting a small apartment alone.","Jealousy, Envy, Dissatisfaction","Jealous, Envious, Dissatisfied"
25,Male,Software Engineer,Single,My younger brother just got accepted into a prestigious graduate program. I feel like my parents are more proud of him than they are of me.,"Jealousy, Insecurity, Inadequacy","Jealous, Insecure, Inadequate"
25,Male,Software Engineer,Single,"I found out that my ex-girlfriend, who broke up with me last year, is now in a serious relationship with someone new. I thought I was over her, but now I feel jealous and regretful.","Jealousy, Regret, Longing","Jealous, Regretful, Longing"
25,Male,Software Engineer,Single,"I spent the entire weekend alone in my apartment, working on a personal coding project. I didn't interact with anyone.","Loneliness, Isolation",I feel so alone and disconnected from everyone.
25,Male,Software Engineer,Single,I saw photos on social media of my friends hanging out together at a party. I wasn't invited.,"Loneliness, Rejection",Seeing those pictures made me feel so left out and unwanted.
25,Male,Software Engineer,Single,"I tried to start a conversation with a coworker during lunch, but they seemed disinterested and the conversation quickly died out.","Loneliness, Rejection",I felt so awkward and lonely when they didn't want to talk to me.
25,Male,Software Engineer,Single,"I worked late at the office and when I left, I realized I was the only one there. The empty building felt eerie.","Loneliness, Isolation",Being the last one at work made me feel so isolated and alone.
25,Male,Software Engineer,Single,"I went to a coffee shop to do some work, but I didn't see anyone I knew. I sat alone and watched groups of friends chatting and laughing together.","Loneliness, Envy",Seeing all those people with their friends made me feel even more alone.
25,Male,Software Engineer,Single,"I found out that my ex-girlfriend, who I still have feelings for, just got engaged.","sadness, longing, regret",I feel so sad and alone. I can't help but think about what could have been if things had worked out differently between us.
25,Male,Software Engineer,Single,I received news that my childhood pet passed away. My parents called to let me know.,"grief, nostalgia, sorrow",I'm heartbroken. That dog was a part of so many happy memories from my childhood. It feels like a chapter of my life is closing.
25,Male,Software Engineer,Single,"I found out that I was passed over for a promotion at work, despite putting in a lot of effort.","disappointment, frustration, self-doubt","I feel so undervalued and unappreciated. I've been working so hard, and it seems like it was all for nothing."
25,Male,Software Engineer,Single,I had to cancel a long-awaited trip due to unexpected financial constraints.,"disappointment, frustration, sadness","I'm so disappointed. I had been looking forward to this trip for months, and now it's not going to happen."
25,Male,Software Engineer,Single,I attended the wedding of a close friend and realized that I'm the only one among my friends who is still single.,"loneliness, sadness, self-pity",Seeing all my friends happy with their partners made me feel so alone. I couldn't help but wonder if there's something wrong with me.
25,Male,Software Engineer,Single,I got passed over for a promotion at work that I really wanted and felt I deserved.,"disappointment, frustration, self-doubt, resentment",I feel so let down and unappreciated. It's like all my hard work meant nothing. I start to question my skills and worth.
25,Male,Software Engineer,Single,My long-term girlfriend broke up with me out of the blue. She said she wasn't feeling it anymore.,"heartbreak, abandonment, loneliness, hopelessness",I'm devastated. I thought she was the one. Now I'm all alone again and I don't know how I'll ever move on.
25,Male,Software Engineer,Single,A group of coworkers went out for happy hour after work but didn't invite me. I overheard them talking about it.,"rejection, insignificance, jealousy, loneliness","Once again, I'm left out and forgotten. I guess I'm not likeable or fun enough to be included. It sucks feeling so invisible."
25,Male,Software Engineer,Single,I shipped some buggy code that caused a major issue for an important client. My boss reamed me out.,"shame, incompetence, anxiety, self-loathing",I feel like such a failure. I can't believe I made such a stupid mistake. I'm probably going to get fired now.
25,Male,Software Engineer,Single,I met up with some old college friends over the weekend. They all seem so much more successful and put together than me.,"inadequacy, envy, self-pity, pessimism","Seeing their nice clothes, hearing about their engagements and houses...I feel so behind in life. Like I've amounted to nothing in comparison. It's depressing."
25,Male,Software Engineer,Single,My friends made plans to go out for dinner and forgot to invite me.,"Neglect, loneliness, sadness",I feel left out and forgotten by my friends.
25,Male,Software Engineer,Single,"I messaged my family in the group chat, but no one responded to me for hours.","Neglect, insignificance, hurt",I feel like my family doesn't care about me or what I have to say.
25,Male,Software Engineer,Single,"I worked hard on a project at work, but my manager praised my colleague and didn't acknowledge my contributions.","Neglect, underappreciation, frustration",I feel like my hard work goes unnoticed and unappreciated.
25,Male,Software Engineer,Single,"I tried to reach out to my best friend for support during a difficult time, but they didn't respond or check in on me.","Neglect, abandonment, disappointment",I feel like I can't rely on my best friend when I need them the most.
25,Male,Software Engineer,Single,"I saw my coworkers enjoying lunch together, but no one invited me to join them.","Neglect, exclusion, insecurity",I feel excluded and like I don't fit in with my coworkers.
25,Male,Software Engineer,Single,"I was working on a critical project with a tight deadline, and suddenly my computer crashed, causing me to lose all my unsaved work.","Panic, frustration, anxiety","I felt overwhelmed and panicked, wondering how I would meet the deadline now that I had lost hours of work."
25,Male,Software Engineer,Single,I was about to give a presentation to a large group of colleagues and clients when I realized I had forgotten my notes at home.,"Panic, fear, embarrassment","I was gripped by panic, knowing that I would have to present without my notes. I felt unprepared and worried that I would make a fool of myself in front of everyone."
25,Male,Software Engineer,Single,"I received a phone call from my doctor's office, asking me to come in to discuss some concerning test results.","Panic, fear, anxiety","My mind immediately started racing with worst-case scenarios. I felt a sense of panic and fear, not knowing what the test results might reveal."
25,Male,Software Engineer,Single,I was on a first date with someone I really liked when I accidentally spilled my drink all over the table and myself.,"Panic, embarrassment, self-consciousness",I felt a wave of panic and embarrassment wash over me. I was worried that my date would think I was clumsy and that I had ruined the evening.
25,Male,Software Engineer,Single,"I was in a crowded elevator when it suddenly jolted and came to a stop between floors. The lights flickered, and an alarm started ringing.","Panic, fear, claustrophobia",I immediately felt a sense of panic and fear. The confined space and the idea of being trapped made me feel claustrophobic and anxious.
25,Male,Software Engineer,Single,My coworker keeps looking at my screen when he walks by my desk. I think he's trying to steal my code and take credit for my work.,"Paranoia, suspicion, anxiety","I feel like I can't trust anyone at work. I'm constantly on edge, worrying that someone is out to get me."
25,Male,Software Engineer,Single,I noticed that my friends have been hanging out without me. They must be talking behind my back and planning to cut me out of the group.,"Paranoia, insecurity, fear of abandonment",I feel like my friends are conspiring against me. I can't stop thinking about what they might be saying about me when I'm not around.
25,Male,Software Engineer,Single,I saw a strange car parked outside my apartment building. I think someone is stalking me and planning to break in.,"Paranoia, fear, hypervigilance",I'm terrified that someone is watching my every move. I can't relax in my own home because I'm always on the lookout for potential threats.
25,Male,Software Engineer,Single,I got a random friend request on social media from someone I don't know. They must be a hacker trying to steal my personal information.,"Paranoia, distrust, fear of being hacked",I'm suspicious of anyone who tries to connect with me online. I worry that they're just trying to get access to my accounts and data.
25,Male,Software Engineer,Single,I overheard my boss talking about 'restructuring' in a meeting. He must be planning to fire me and replace me with someone else.,"Paranoia, job insecurity, fear of being fired",I'm convinced that my boss is out to get me. I can't stop worrying about losing my job and not being able to find another one.
25,Male,Software Engineer,Single,I was working on a critical project and my coworker introduced a major bug in the codebase right before the deadline.,"Rage, frustration, anger",I felt an overwhelming sense of rage and anger towards my coworker.
25,Male,Software Engineer,Single,"I found out that my ex-girlfriend, who cheated on me, got engaged to the person she cheated with.","Rage, betrayal, jealousy",I was consumed by rage and jealousy when I found out about my ex's engagement.
25,Male,Software Engineer,Single,I was stuck in traffic for hours and missed an important job interview.,"Rage, helplessness, disappointment","I was filled with rage and felt helpless as I sat in traffic, knowing I was missing my interview."
25,Male,Software Engineer,Single,"My neighbor's dog kept barking all night, preventing me from getting any sleep before a crucial presentation at work.","Rage, exhaustion, annoyance",I was enraged by my neighbor's inconsiderate behavior and their dog's incessant barking.
25,Male,Software Engineer,Single,I discovered that a close friend had been spreading rumors about me behind my back.,"Rage, betrayal, hurt",I was overcome with rage and a sense of betrayal when I found out about my friend's actions.
25,Male,Software Engineer,Single,"I turned down a high-paying job offer from a prestigious company to stay at my current job, but now I feel like I missed out on a great opportunity.","regret, disappointment, frustration",I feel like I made a huge mistake and I'm kicking myself for not taking that job. I'm really regretting my decision.
